Первая строка,Aka,Автор,Git,XML,PDF,Тональность,Размер,Темп,Bpm,Основная Тема Песни,Применение,Дата,Писание
Иисус Спаситель нет другого,Пусть вся земля воскликнет Господу,,,Иисус Спаситель (https://dl.airtable.com/zL5nVoPxSyKWZQQyxm6z_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%A1%D0%BF%D0%B0%D1%81%D0%B8%D1%82%D0%B5%D0%BB%D1%8C),,A,2/4,Медленный,74,"Страдания Жертва Воскресение Искупление,Прославление",,14.7.2019,
Кто тьму разрушил,О эта благодать,Новый Завет NTWorship,,Кто тьму разрушил (https://dl.airtable.com/fJMKFuJ3RWqABr9pVhYA_%D0%9A%D1%82%D0%BE%20%D1%82%D1%8C%D0%BC%D1%83%20%D1%80%D0%B0%D0%B7%D1%80%D1%83%D1%88%D0%B8%D0%BB),,G,4/4,Умеренный,100,Любовь Благодать и Милость,,14.7.2019,
Только Бог меня поднимет,,,,Только Бог меня поднимет (https://dl.airtable.com/NZinbpEPT9aUdbG9cOZE_%D0%A2%D0%BE%D0%BB%D1%8C%D0%BA%D0%BE%20%D0%91%D0%BE%D0%B3%20%D0%BC%D0%B5%D0%BD%D1%8F%20%D0%BF%D0%BE%D0%B4%D0%BD%D0%B8%D0%BC%D0%B5%D1%82),,F,4/4,Быстрый,140,"Прославление,Утверждение и Посвящение",,7.7.2019,
Ты отдал тело ,,ахвегс,,Ты отдал Тело (https://dl.airtable.com/zXib2KBSDeHCBQPYAW7Z_%D0%A2%D1%8B%20%D0%BE%D1%82%D0%B4%D0%B0%D0%BB%20%D0%A2%D0%B5%D0%BB%D0%BE),,Dm,4/4,Умеренный,66,Страдания Жертва Воскресение Искупление,Причастие,7.7.2019,
Он живущий под покровом,,ахвегс,,Он живущий под покровом (https://dl.airtable.com/mU4yT3iDSNWSfEfFsXcb_%D0%9E%D0%BD%20%D0%B6%D0%B8%D0%B2%D1%83%D1%89%D0%B8%D0%B9%20%D0%BF%D0%BE%D0%B4%20%D0%BF%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%BE%D0%BC),,D,4/4,Быстрый,140,Утверждение и Посвящение,Десятина,7.7.2019,
Снова Своей любовью,,,,Снова Своей любовью Ты (https://dl.airtable.com/8KzWmxNfQneKoEQR93tp_%D0%A1%D0%BD%D0%BE%D0%B2%D0%B0%20%D0%A1%D0%B2%D0%BE%D0%B5%D0%B9%20%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C%D1%8E%20%D0%A2%D1%8B),,A,4/4,Медленный,66,Утверждение и Посвящение,,7.7.2019,
Всем сердцем моим,,,,"Всем сердцем моим F (https://dl.airtable.com/Cyogc5zoQ3ie4itNBV14_%D0%92%D1%81%D0%B5%D0%BC%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%D0%BC%20%D0%BC%D0%BE%D0%B8%D0%BC%20F),Всем сердцем моим G (https://dl.airtable.com/Y6Ozbmy3TG0ZLwrQtYR3_%D0%92%D1%81%D0%B5%D0%BC%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%D0%BC%20%D0%BC%D0%BE%D0%B8%D0%BC%20G)",,"A,F,G",4/4,Медленный,70,Прославление,,7.7.2019,
Славлю Тебя дивный Господь ,,,,Славлю Тебя дивный Господь (https://dl.airtable.com/LFAAijQP6DSWRJnyZC3g_%D0%A1%D0%BB%D0%B0%D0%B2%D0%BB%D1%8E%20%D0%A2%D0%B5%D0%B1%D1%8F%20%D0%B4%D0%B8%D0%B2%D0%BD%D1%8B%D0%B9%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),,D,2/4,Умеренный,100,"Любовь Благодать и Милость,Страдания Жертва Воскресение Искупление",,7.7.2019,
Иисус Царь всей земли ,,дело веры,,Иисус – Царь всей земли (https://dl.airtable.com/PvLqC47iQDKQ7KduzNFO_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%E2%80%93%20%D0%A6%D0%B0%D1%80%D1%8C%20%D0%B2%D1%81%D0%B5%D0%B9%20%D0%B7%D0%B5%D0%BC%D0%BB%D0%B8),,Dm,4/4,Быстрый,142,"Прославление,Страдания Жертва Воскресение Искупление",,7.7.2019,
Мы пришли благословить Его ,,ахвегс,,Мы пришли благословить Его (https://dl.airtable.com/.attachments/9474d579dddfefd89716eb8e4cc1048e/9cc1439b),,F,4/4,Умеренный,140,Призыв к Поклонению,,7.7.2019,
