Первая строка,Aka,Автор,Git,XML,PDF,Тональность,Размер,Темп,Bpm,Основная Тема Песни,Применение,Дата,Писание
Аллилуйя слава Богу,Царю царей,,http://htmlpreview.github.io/?https://github.com/SergKnyz/ICF/blob/master/Export/Tablet/%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20(Key%20-%20B).html,Аллилуйя cлава Богу (https://dl.airtable.com/2zLtWL2ISiC1RMhu3c59_%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20c%D0%BB%D0%B0%D0%B2%D0%B0%20%D0%91%D0%BE%D0%B3%D1%83),Аллилуйя cлава Богу (Key - C).pdf (https://dl.airtable.com/cdPYYxyjTGGJgNekR8hj_%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20c%D0%BB%D0%B0%D0%B2%D0%B0%20%D0%91%D0%BE%D0%B3%D1%83%20(Key%20-%20C).pdf),C,4/4,Умеренный,70,Прославление,,31.3.2019,
Ты моя слава крепость и сила,,Ятковский,,Ты моя слава (https://dl.airtable.com/CiZCJLxfRgCiM2N3Cw1G_%D0%A2%D1%8B%20%D0%BC%D0%BE%D1%8F%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B0),,Hm,4/4,Умеренный,88,"Прославление,Страдания Жертва Воскресение Искупление",,31.3.2019,
Твоей славы полон дом ,,ахвегс,,Твоей славы полон дом (https://dl.airtable.com/7TC5uvgTrms8xcFL3bQz_%D0%A2%D0%B2%D0%BE%D0%B5%D0%B9%20%D1%81%D0%BB%D0%B0%D0%B2%D1%8B%20%D0%BF%D0%BE%D0%BB%D0%BE%D0%BD%20%D0%B4%D0%BE%D0%BC),,C,4/4,Умеренный,80,,,31.3.2019,
Отче наш,,,,Отче наш (https://dl.airtable.com/.attachments/4b81b79ddbef59137aa8aa612d709d94/647ed1cb),,Am,4/4,Медленный,64,,,24.3.2019,Мтф 6:9
Великий Бог (гимн) ,Когда поёт...,,,Великий Бог когда A (https://dl.airtable.com/IubqTOg2QG2YGHiI3YJg_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B8%D0%B9%20%D0%91%D0%BE%D0%B3%20%D0%BA%D0%BE%D0%B3%D0%B4%D0%B0%20A),,A,2/4,Умеренный,66,Качества Бога,,24.3.2019,
Видел я Господа ,,,,Видел я Господа (https://dl.airtable.com/D1Dgj0rmTmerm1XoaTO5_%D0%92%D0%B8%D0%B4%D0%B5%D0%BB%20%D1%8F%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0),,"C,B",4/4,Умеренный,72,Качества Бога,,24.3.2019,Ис 6:1
Радостью я возрадуюсь,,Новый Иерусалим,,Радостью я возрадуюсь (https://dl.airtable.com/Y9DVSzMwTMuvY5X8Vj9T_%D0%A0%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C%D1%8E%20%D1%8F%20%D0%B2%D0%BE%D0%B7%D1%80%D0%B0%D0%B4%D1%83%D1%8E%D1%81%D1%8C),,Em,2/4,Умеренный,66,Утверждение и Посвящение,Десятина,24.3.2019,Ис 61:10
Осанна ,,ахвегс,,Осанна Осанна (https://dl.airtable.com/7gcOBY05QomWBwckBRZJ_%D0%9E%D1%81%D0%B0%D0%BD%D0%BD%D0%B0%20%D0%9E%D1%81%D0%B0%D0%BD%D0%BD%D0%B0),,"F,G",,Быстрый,,,,21.3.2019,
Велика Твоя милость ,,,,Велика Твоя милость ко мне (https://dl.airtable.com/vlFCB3TvRA6YVl6FdZh4_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B0%20%D0%A2%D0%B2%D0%BE%D1%8F%20%D0%BC%D0%B8%D0%BB%D0%BE%D1%81%D1%82%D1%8C%20%D0%BA%D0%BE%20%D0%BC%D0%BD%D0%B5),,D,4/4,Медленный,70,Любовь Благодать и Милость,,17.3.2019,
От небесных вершин до глубоких морей,,Chris Tomlin,,От небесных вершин (https://dl.airtable.com/J7z0eMPUSlKyHFyPPu5g_%D0%9E%D1%82%20%D0%BD%D0%B5%D0%B1%D0%B5%D1%81%D0%BD%D1%8B%D1%85%20%D0%B2%D0%B5%D1%80%D1%88%D0%B8%D0%BD),,Dm,3/8,Умеренный,96,,,17.3.2019,
Вознесите Господа ,,,,Вознесите Господа (https://dl.airtable.com/nbAl9uDXSXep1psOsJGI_%D0%92%D0%BE%D0%B7%D0%BD%D0%B5%D1%81%D0%B8%D1%82%D0%B5%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0),,Em,4/4,Медленный,,Качества Бога,,10.3.2019,
Во имя Господа Христа,,,,Во имя Господа Христа (https://dl.airtable.com/kVA6AQpERG6uMB5T8nYM_%D0%92%D0%BE%20%D0%B8%D0%BC%D1%8F%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%20%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B0),,Em,4/4,Умеренный,90,Утверждение и Посвящение,Десятина,10.3.2019,
Только Ты один ,,,,,,F,4/4,Медленный,70,Страдания Жертва Воскресение Искупление,Причастие,10.3.2019,
Превыше силы,,,,Превыше силы (https://dl.airtable.com/pUPZUBWQjaRJkp2hRyQp_%D0%9F%D1%80%D0%B5%D0%B2%D1%8B%D1%88%D0%B5%20%D1%81%D0%B8%D0%BB%D1%8B),,"G,A",4/4,Медленный,66,,,3.3.2019,
Иисус Христос в ту ночь,,Ятковский,,Иисус Христос в ту ночь (https://dl.airtable.com/.attachments/9efe83ffaa9676ab029529a157606152/3856a7c1),,Am,4/4,Медленный,68,,Причастие,3.3.2019,
Аллилуйя Иисус наш Царь,,Краеугольный камень,,Аллилуйя Иисус наш Царь (https://dl.airtable.com/pCuDAY16T10MNY1aZqAj_%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%BD%D0%B0%D1%88%20%D0%A6%D0%B0%D1%80%D1%8C),Аллилуйя Иисус наш Царь (Key - E).pdf (https://dl.airtable.com/nsNCzYJR8OJWHC7eO8xc_%D0%90%D0%BB%D0%BB%D0%B8%D0%BB%D1%83%D0%B9%D1%8F%20%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%BD%D0%B0%D1%88%20%D0%A6%D0%B0%D1%80%D1%8C%20(Key%20-%20E).pdf),E,4/4,Быстрый,140,Прославление,,24.2.2019,
Вся жизнь лишь в Тебе ,,ахвегс,,Вся жизнь лишь в Тебе (https://dl.airtable.com/FPmTiH8aQfqlzzA4dFYM_%D0%92%D1%81%D1%8F%20%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C%20%D0%BB%D0%B8%D1%88%D1%8C%20%D0%B2%20%D0%A2%D0%B5%D0%B1%D0%B5),,F,2/4,Быстрый,160,,,17.2.2019,
Перед Тобой склоняюсь я ,,ахвегс,,Перед тобой склоняюсь я 3к (https://dl.airtable.com/RQ71ayAyRri5Xh0l2aWR_%D0%9F%D0%B5%D1%80%D0%B5%D0%B4%20%D1%82%D0%BE%D0%B1%D0%BE%D0%B9%20%D1%81%D0%BA%D0%BB%D0%BE%D0%BD%D1%8F%D1%8E%D1%81%D1%8C%20%D1%8F%203%D0%BA),,G,4/4,Умеренный,70,,,17.2.2019,
Лишь в Тебе моя радость полна,,ахвегс,,Лишь в Тебе моя радость полна (https://dl.airtable.com/MeuZrENLQQ2CjRS7K9jt_%D0%9B%D0%B8%D1%88%D1%8C%20%D0%B2%20%D0%A2%D0%B5%D0%B1%D0%B5%20%D0%BC%D0%BE%D1%8F%20%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C%20%D0%BF%D0%BE%D0%BB%D0%BD%D0%B0),,"G,A",4/4,Умеренный,70,,,17.2.2019,
Иисус Христос мой Спаситель и Бог,,Ятковский,,ИХ мой Спаситель и Бог (https://dl.airtable.com/SDWMs5AQZ24kEwwgZFmY_%D0%98%D0%A5%20%D0%BC%D0%BE%D0%B9%20%D0%A1%D0%BF%D0%B0%D1%81%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D0%B8%20%D0%91%D0%BE%D0%B3),,A,2/4,Умеренный,86,"Утверждение и Посвящение,Качества Бога",,17.2.2019,
Пою я песню любви ,,ахвегс,,Пою я песню любви (https://dl.airtable.com/keKCyhRQT6Ov7oeDUQKC_%D0%9F%D0%BE%D1%8E%20%D1%8F%20%D0%BF%D0%B5%D1%81%D0%BD%D1%8E%20%D0%BB%D1%8E%D0%B1%D0%B2%D0%B8),,G,4/4,Медленный,68,,,10.2.2019,
Поклонюсь Тебе Иисус,,Краеугольный камень,,Поклонюсь Тебе Иисус (https://dl.airtable.com/OjLCZDn1THGojO9FzTUX_%D0%9F%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D1%8E%D1%81%D1%8C%20%D0%A2%D0%B5%D0%B1%D0%B5%20%D0%98%D0%B8%D1%81%D1%83%D1%81),,"Gm,Am",4/4,Медленный,60,,,10.2.2019,
Я буду ожидать Тебя с раннего утра,,Краеугольный камень,,Я буду ожидать Тебя (https://dl.airtable.com/z241BJMT7Kc3YqIVclmS_%D0%AF%20%D0%B1%D1%83%D0%B4%D1%83%20%D0%BE%D0%B6%D0%B8%D0%B4%D0%B0%D1%82%D1%8C%20%D0%A2%D0%B5%D0%B1%D1%8F),,Gm,4/4,Медленный,64,Утверждение и Посвящение,,10.2.2019,
Воду в вино превратил,,Chris Tomlin,,"Воду в вино (https://dl.airtable.com/hV5pUVURhGcFb7QCCotK_%D0%92%D0%BE%D0%B4%D1%83%20%D0%B2%20%D0%B2%D0%B8%D0%BD%D0%BE),Воду в вино превратил (https://dl.airtable.com/kzOWo9C4TCSUpsCMhm8m_%D0%92%D0%BE%D0%B4%D1%83%20%D0%B2%20%D0%B2%D0%B8%D0%BD%D0%BE%20%D0%BF%D1%80%D0%B5%D0%B2%D1%80%D0%B0%D1%82%D0%B8%D0%BB)",Воду в вино превратил (Key - Em).pdf (https://dl.airtable.com/CycTmhHRQfiLyGzfjM8f_%D0%92%D0%BE%D0%B4%D1%83%20%D0%B2%20%D0%B2%D0%B8%D0%BD%D0%BE%20%D0%BF%D1%80%D0%B5%D0%B2%D1%80%D0%B0%D1%82%D0%B8%D0%BB%20(Key%20-%20Em).pdf),Em,4/4,Умеренный,100,Качества Бога,,10.2.2019,
Ты лоза мы ветви,,,,Ты лоза мы ветви (https://dl.airtable.com/TQjeQx1TwC834WqhkMgP_%D0%A2%D1%8B%20%D0%BB%D0%BE%D0%B7%D0%B0%20%D0%BC%D1%8B%20%D0%B2%D0%B5%D1%82%D0%B2%D0%B8),,Em,4/4,Медленный,70,,,10.2.2019,
Кровь Твоя очищает меня,,,,Кровь Твоя очищает меня (https://dl.airtable.com/xyzZRHIuQACnSufThs2R_%D0%9A%D1%80%D0%BE%D0%B2%D1%8C%20%D0%A2%D0%B2%D0%BE%D1%8F%20%D0%BE%D1%87%D0%B8%D1%89%D0%B0%D0%B5%D1%82%20%D0%BC%D0%B5%D0%BD%D1%8F),,A,4/4,Умеренный,,,Причастие,3.2.2019,
Бог есть любовь,,Кузнецов В.П.,,Бог есть любовь (https://dl.airtable.com/s54Q1n7IQCS3HGfYLI0g_%D0%91%D0%BE%D0%B3%20%D0%B5%D1%81%D1%82%D1%8C%20%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C),,G,4/4,Умеренный,100,Любовь Благодать и Милость,,3.2.2019,
Разломи мое сердце на части,Ты согреваешь душу,,,Разломи мое сердце на части (https://dl.airtable.com/fLBjTKY4Q3CvDZdTR78y_%D0%A0%D0%B0%D0%B7%D0%BB%D0%BE%D0%BC%D0%B8%20%D0%BC%D0%BE%D0%B5%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%BD%D0%B0%20%D1%87%D0%B0%D1%81%D1%82%D0%B8),,Am,2/4,Медленный,60,,,3.2.2019,
Без конца буду петь,,,,Без конца буду петь (https://dl.airtable.com/.attachments/7d4e019e9f2573bedbf98d448f25547a/a0895ff7),,C,4/4,Быстрый,120,Утверждение и Посвящение,,27.1.2019,
Прославлю я ведь Ты достоин ,,,,Прославлю я ведь ты достоин (https://dl.airtable.com/Y5QzleIDT72dDknUXtzb_%D0%9F%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%BB%D1%8E%20%D1%8F%20%D0%B2%D0%B5%D0%B4%D1%8C%20%D1%82%D1%8B%20%D0%B4%D0%BE%D1%81%D1%82%D0%BE%D0%B8%D0%BD),,Em,4/4,Быстрый,114,Прославление,,27.1.2019,
На святой земле,,ахвегс,,На святой земле (https://dl.airtable.com/9VUodqL1QS6jKbT2oF8w_%D0%9D%D0%B0%20%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B9%20%D0%B7%D0%B5%D0%BC%D0%BB%D0%B5),,"A,D",4/4,Медленный,,Прославление,,27.1.2019,
Тебе я поклонюсь,Хочу к Тебе прийти сейчас,,,Тебе я поклонюсь (https://dl.airtable.com/.attachments/841eb4a5f891f8845ec5aab77ed93dc4/aec0a0b4),,G,4/4,Умеренный,66,,,27.1.2019,
Любовью и силой ,,ахвегс,,Любовью и силой (https://dl.airtable.com/jt29P9onRgSVYi99TsnS_%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C%D1%8E%20%D0%B8%20%D1%81%D0%B8%D0%BB%D0%BE%D0%B9),,Em,4/4,Медленный,60,,,20.1.2019,
Пою Господу вовеки ,Он ввергнул в море колесницы,ахвегс,,Пою Господу Вовеки (https://dl.airtable.com/7r6iy69aSIqpnEDYo3Mb_%D0%9F%D0%BE%D1%8E%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%83%20%D0%92%D0%BE%D0%B2%D0%B5%D0%BA%D0%B8),,Em,4/4,Быстрый,120,,,20.1.2019,
Святой Всемогущий,,,,Святой Всемогущий (https://dl.airtable.com/9C5zhevgRZAOoJymoCP8_%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B9%20%D0%92%D1%81%D0%B5%D0%BC%D0%BE%D0%B3%D1%83%D1%89%D0%B8%D0%B9),Святой Всемогущий (Key - Em).pdf (https://dl.airtable.com/EOwf755MTHyjNwA3SacI_%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B9%20%D0%92%D1%81%D0%B5%D0%BC%D0%BE%D0%B3%D1%83%D1%89%D0%B8%D0%B9%20(Key%20-%20Em).pdf),"Dm,Em",4/4,Умеренный,70,Качества Бога,,20.1.2019,
Пусть слепой скажет вижу,,,,Пусть слепой скажет вижу (https://dl.airtable.com/TwAI6UuHRZeOKSuKaBll_%D0%9F%D1%83%D1%81%D1%82%D1%8C%20%D1%81%D0%BB%D0%B5%D0%BF%D0%BE%D0%B9%20%D1%81%D0%BA%D0%B0%D0%B6%D0%B5%D1%82%20%D0%B2%D0%B8%D0%B6%D1%83),,Em,4/4,Умеренный,70,Утверждение и Посвящение,,13.1.2019,
Велики и чудны Твои дела Господь,,,,Велики и чудны (https://dl.airtable.com/.attachments/88dd04ba0ce336af5cf020da9abeca9f/b524b6db),,"Dm,Em",2/4,Умеренный,62,Качества Бога,,13.1.2019,
Хвалите  хвалите Бога небес,,,,Хвалите  хвалите Бога небес (https://dl.airtable.com/PgaGgJjAQrCHezqBxL7A_%D0%A5%D0%B2%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%20%20%D1%85%D0%B2%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%20%D0%91%D0%BE%D0%B3%D0%B0%20%D0%BD%D0%B5%D0%B1%D0%B5%D1%81),,Dm,2/4,Умеренный,62,Призыв к Поклонению,Вступление,13.1.2019,
Вся земля полна славы и хвалы  ,,Slavic New Beginnings Church,,Вся земля полна славы и хвалы (https://dl.airtable.com/FB0lVMQSagEftouAmcHw_%D0%92%D1%81%D1%8F%20%D0%B7%D0%B5%D0%BC%D0%BB%D1%8F%20%D0%BF%D0%BE%D0%BB%D0%BD%D0%B0%20%D1%81%D0%BB%D0%B0%D0%B2%D1%8B%20%D0%B8%20%D1%85%D0%B2%D0%B0%D0%BB%D1%8B),,D,4/4,Умеренный,,,,7.1.2019,
Мира князь чудный Бог,,ахвегс,,Мира князь чудный Бог (https://dl.airtable.com/cu9SOZ33Sb6WekXgRyWq_%D0%9C%D0%B8%D1%80%D0%B0%20%D0%BA%D0%BD%D1%8F%D0%B7%D1%8C%20%D1%87%D1%83%D0%B4%D0%BD%D1%8B%D0%B9%20%D0%91%D0%BE%D0%B3),,"A,G",4/4,Медленный,,Качества Бога,,30.12.2018,
Мы любим славить ,,ахвегс,,Мы любим славить (https://dl.airtable.com/9rrLNcvROqLXEQDzd7uA_%D0%9C%D1%8B%20%D0%BB%D1%8E%D0%B1%D0%B8%D0%BC%20%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%82%D1%8C),,"D,G",4/4,Быстрый,,"Утверждение и Посвящение,Призыв к Поклонению",,23.12.2018,
Знаю я есть Бог,,,,Знаю я есть Бог (https://dl.airtable.com/lnLXnGdOQeq1rFOcMIT1_%D0%97%D0%BD%D0%B0%D1%8E%20%D1%8F%20%D0%B5%D1%81%D1%82%D1%8C%20%D0%91%D0%BE%D0%B3),,"Dm,Em",4/4,Быстрый,126,Любовь Благодать и Милость,,23.12.2018,
Я благодарен Твоя любовь ко мне,,ахвегс,,Я благодарен (https://dl.airtable.com/hdDsv54FR5mb0HQSQ0ty_%D0%AF%20%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D0%B0%D1%80%D0%B5%D0%BD),,D,4/4,Умеренный,,Любовь Благодать и Милость,,20.12.2018,
Верю я в Иисуса ,,ахвегс,,Верю я в Иисуса (https://dl.airtable.com/bcqr3LaQmk6nZJnsZpxQ_%D0%92%D0%B5%D1%80%D1%8E%20%D1%8F%20%D0%B2%20%D0%98%D0%B8%D1%81%D1%83%D1%81%D0%B0),,"D,E",2/4,Умеренный,,Страдания Жертва Воскресение Искупление,,20.12.2018,
Мир радость и любовь ,,ахвегс,,Мир радость и любовь (https://dl.airtable.com/O1PeptiBRcioCfntJELE_%D0%9C%D0%B8%D1%80%20%D1%80%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C%20%D0%B8%20%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C),,"D,F",4/4,Медленный,68,,,20.12.2018,
Пусть сердце мое будет чисто ,,,,Пусть сердце моё будет чисто (https://dl.airtable.com/ImqruqXSKi33F4wx3krq_%D0%9F%D1%83%D1%81%D1%82%D1%8C%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%BC%D0%BE%D1%91%20%D0%B1%D1%83%D0%B4%D0%B5%D1%82%20%D1%87%D0%B8%D1%81%D1%82%D0%BE),,D,6/8,Быстрый,60,Утверждение и Посвящение,,20.12.2018,
Святый Бог в небесах ,,ахвегс,,Святый Бог в небесах (https://dl.airtable.com/mrZ2JWpZQRWaRHCuPA4n_%D0%A1%D0%B2%D1%8F%D1%82%D1%8B%D0%B9%20%D0%91%D0%BE%D0%B3%20%D0%B2%20%D0%BD%D0%B5%D0%B1%D0%B5%D1%81%D0%B0%D1%85),Святый Бог в небесах (Key - Em).pdf (https://dl.airtable.com/7QpXE4h0TUq5QYJramQ4_%D0%A1%D0%B2%D1%8F%D1%82%D1%8B%D0%B9%20%D0%91%D0%BE%D0%B3%20%D0%B2%20%D0%BD%D0%B5%D0%B1%D0%B5%D1%81%D0%B0%D1%85%20(Key%20-%20Em).pdf),Em,4/4,Умеренный,74,Качества Бога,,16.12.2018,
В Твоем Святом присутствии,Горы проблем,В. Короп,,В Твоём Святом присутствии (https://dl.airtable.com/zBjCSxB8SZaYG1oZ7swB_%D0%92%20%D0%A2%D0%B2%D0%BE%D1%91%D0%BC%20%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%BC%20%D0%BF%D1%80%D0%B8%D1%81%D1%83%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8),В Твоём Святом присутствии (Key - Em).pdf (https://dl.airtable.com/tooO8bFNTjSV26awYqgG_%D0%92%20%D0%A2%D0%B2%D0%BE%D1%91%D0%BC%20%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%BC%20%D0%BF%D1%80%D0%B8%D1%81%D1%83%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20(Key%20-%20Em).pdf),Em,4/4,Медленный,66,Качества Бога,,16.12.2018,
Он есть Господь царит в высоте,,,,Он есть Господь (https://dl.airtable.com/rOjrqlVQJy9UqveNc1MQ_%D0%9E%D0%BD%20%D0%B5%D1%81%D1%82%D1%8C%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C),Он есть Господь царит в высоте (Key - G).pdf (https://dl.airtable.com/QLxMZUoSx6n54WknQPgx_%D0%9E%D0%BD%20%D0%B5%D1%81%D1%82%D1%8C%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%20%D1%86%D0%B0%D1%80%D0%B8%D1%82%20%D0%B2%20%D0%B2%D1%8B%D1%81%D0%BE%D1%82%D0%B5%20(Key%20-%20G).pdf),G,4/4,Умеренный,110,"Качества Бога,Утверждение и Посвящение",,9.12.2018,
Глас Господа услышан,Он сильный Израилев,ахвегс,,Глас Господа услышан (https://dl.airtable.com/Hl1sGWwQhCQzWb7h9ywg_%D0%93%D0%BB%D0%B0%D1%81%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%20%D1%83%D1%81%D0%BB%D1%8B%D1%88%D0%B0%D0%BD),Глас Господа услышан (Key - Am).pdf (https://dl.airtable.com/p55U69KWTVmi7EeaVwJz_%D0%93%D0%BB%D0%B0%D1%81%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%20%D1%83%D1%81%D0%BB%D1%8B%D1%88%D0%B0%D0%BD%20(Key%20-%20Am).pdf),Am,4/4,Быстрый,120,Качества Бога,,11.11.2018,
Иисус Иисус Святый Бог,Взываю я к Тебе,,,Иисус Иисус (https://dl.airtable.com/DAGqNeTRV4n37c8wVYQy_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%98%D0%B8%D1%81%D1%83%D1%81),,D,4/4,Медленный,64,Прославление,,2.11.2018,
Господу Богу Твоему поклоняйся ,,дело веры,,Господу Богу твоему поклоняйся (https://dl.airtable.com/gQXu22DTbimiV9JjqwGH_%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%83%20%D0%91%D0%BE%D0%B3%D1%83%20%D1%82%D0%B2%D0%BE%D0%B5%D0%BC%D1%83%20%D0%BF%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D1%8F%D0%B9%D1%81%D1%8F),,Am,2/4,Умеренный,60,Призыв к Поклонению,,28.10.2018,
Мой Господь спасибо ,,,,Мой Господь спасибо (https://dl.airtable.com/d5ghHkqkTRpKbkKaIdA6_%D0%9C%D0%BE%D0%B9%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C%20%D1%81%D0%BF%D0%B0%D1%81%D0%B8%D0%B1%D0%BE),,"G,A",4/4,Умеренный,74,Страдания Жертва Воскресение Искупление,,21.10.2018,
Изливайте сердце ваше,,ахвегс,,Изливайте сердце ваше (https://dl.airtable.com/vwb42p47RwSM6wPAvJSf_%D0%98%D0%B7%D0%BB%D0%B8%D0%B2%D0%B0%D0%B9%D1%82%D0%B5%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%B2%D0%B0%D1%88%D0%B5),,"D,F",4/4,Быстрый,150,"Призыв к Поклонению,Прославление",Десятина,14.10.2018,
Поклоняюсь я у Твоих ног,,ахвегс,,Поклоняюсь я у Твоих ног (https://dl.airtable.com/M2ZlL9r8TwWX6dNCKCAj_%D0%9F%D0%BE%D0%BA%D0%BB%D0%BE%D0%BD%D1%8F%D1%8E%D1%81%D1%8C%20%D1%8F%20%D1%83%20%D0%A2%D0%B2%D0%BE%D0%B8%D1%85%20%D0%BD%D0%BE%D0%B3),,"D,F",4/4,Медленный,68,Любовь Благодать и Милость,,14.10.2018,
Шалом мои друзья,,,,Шалом мои друзья (https://dl.airtable.com/M3gTdXyRA6csmnQwknug_%D0%A8%D0%B0%D0%BB%D0%BE%D0%BC%20%D0%BC%D0%BE%D0%B8%20%D0%B4%D1%80%D1%83%D0%B7%D1%8C%D1%8F),,Gm,4/4,Быстрый,90,,Десятина,14.10.2018,
Эту песню неба Ангелы поют,,,,,,,4/4,Умеренный,,,,10.10.2018,
Имя Христа есть одно,,ахвегс,,Имя Христа (https://dl.airtable.com/PONbHuDqSeWvqYgGt3Cs_%D0%98%D0%BC%D1%8F%20%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B0),,C,4/4,Умеренный,70,,,30.9.2018,
Мой покровитель Бог,,,,Мой покровитель Бог (https://dl.airtable.com/HJlPTidRGOKZYzx539yG_%D0%9C%D0%BE%D0%B9%20%D0%BF%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D0%91%D0%BE%D0%B3),,Em,4/4,Быстрый,130,,,25.9.2018,
Иисус благодарю за Дух Святой,,Ятковский,,Иисус благодарю за Дух Святой G (https://dl.airtable.com/onEItVNCQCO5Y2ojD2ki_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D0%B0%D1%80%D1%8E%20%D0%B7%D0%B0%20%D0%94%D1%83%D1%85%20%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B9%20G),,G,4/4,Умеренный,70,Утверждение и Посвящение,,23.9.2018,
Бог призвал нас ,,ахвегс,,Бог призвал нас (https://dl.airtable.com/2M5pAK2OTrKOXEBlqA8g_%D0%91%D0%BE%D0%B3%20%D0%BF%D1%80%D0%B8%D0%B7%D0%B2%D0%B0%D0%BB%20%D0%BD%D0%B0%D1%81),,G,4/4,Умеренный,,Церковь и Единство,,16.9.2018,
Я так рад Живой Живой (2 в одном),,ахвегс,,Я так рад Живой Живой (https://dl.airtable.com/1t5X2opVQtWRrFeJySRI_%D0%AF%20%D1%82%D0%B0%D0%BA%20%D1%80%D0%B0%D0%B4%20%D0%96%D0%B8%D0%B2%D0%BE%D0%B9%20%D0%96%D0%B8%D0%B2%D0%BE%D0%B9),,F,2/4,Умеренный,,,,16.9.2018,
Этот день сотворил Господь ,,ахвегс,,"Этот день (1 тон) (https://dl.airtable.com/T2SEFr36SBmvzN6rYALN_%D0%AD%D1%82%D0%BE%D1%82%20%D0%B4%D0%B5%D0%BD%D1%8C%20(1%20%D1%82%D0%BE%D0%BD)),Этот день сотворил Господь (https://dl.airtable.com/sMTTjrn8QMq5hJ1IJ8oD_%D0%AD%D1%82%D0%BE%D1%82%20%D0%B4%D0%B5%D0%BD%D1%8C%20%D1%81%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D0%B8%D0%BB%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D1%8C)",,"F,G",2/4,Быстрый,,,,16.9.2018,
Оковы пали ,,ахвегс,,Оковы пали (https://dl.airtable.com/zwBvxb9mTh6Sif2VMeOr_%D0%9E%D0%BA%D0%BE%D0%B2%D1%8B%20%D0%BF%D0%B0%D0%BB%D0%B8),,"D,F",2/4,Умеренный,90,,,16.9.2018,
